price,year,kilometers
620.000,2013,109.000 Km
580.000,2012,82.000 Km
480.000,2010,118.000 Km
485.000,2010,90.000 Km
480.000,2011,120.000 Km
550.000,2010,98.000 Km
450.000,2010,90.000 Km
580.000,2010,85.000 Km
570.000,2011,120.000 Km
630.000,2012,110.000 Km
590.000,2012,98.300 Km
630.000,2014,71.000 Km
595.000,2010,117.000 Km
600.000,2011,96.000 Km
620.000,2012,105.000 Km
645.000,2012,111.000 Km
539.900,2012,104.000 Km
625.000,2011,100.000 Km
595.000,2010,110.000 Km
650.000,2013,120.000 Km
550.000,2014,120.000 Km
590.000,2011,70.000 Km
460.000,2010,120.000 Km
600.000,2013,75.500 Km
520.000,2012,93.500 Km
630.000,2012,90.000 Km
630.000,2014,100.000 Km
520.000,2009,115.000 Km
650.000,2011,100.000 Km
650.000,2013,114.000 Km
620.000,2010,100.000 Km
450.000,2013,87.000 Km
650.000,2013,107.000 Km
595.000,2011,93.000 Km
650.000,2014,100.000 Km
620.000,2012,98.000 Km
620.000,2012,84.000 Km
650.000,2013,45.800 Km
449.000,2010,101.000 Km
520.000,2010,65.000 Km
600.000,2011,100.000 Km
650.000,2012,105.000 Km
540.000,2011,120.000 Km
640.000,2011,114.000 Km
650.000,2011,82.000 Km
500.000,2012,100.000 Km
520.000,2012,90.000 Km
649.900,2013,67.000 Km
560.000,2010,82.000 Km
350.000,2010,111.111 Km
650.000,2012,93.000 Km
630.000,2013,95.000 Km
630.000,2012,105.000 Km
650.000,2011,105.000 Km
530.000,2010,110.000 Km
540.000,2010,99.000 Km
580.000,2012,108.000 Km
650.000,2012,90.000 Km
530.000,2014,99.100 Km
625.000,2012,83.000 Km
600.000,2011,79.000 Km
540.000,2010,99.000 Km
630.000,2011,104.500 Km
649.000,2013,66.000 Km
550.000,2010,94.000 Km
580.000,2013,93.000 Km
450.000,2009,120.000 Km
500.000,2010,111.111 Km
590.000,2013,90.000 Km
490.000,2012,63.000 Km
650.000,2013,120.000 Km
650.000,2013,120.000 Km
550.000,2010,93.000 Km
640.000,2014,99.800 Km
650.000,2011,108.000 Km
530.000,2010,77.000 Km
560.000,2012,65.000 Km
550.000,2010,120.000 Km
650.000,2009,97.000 Km
550.000,2010,110.000 Km
650.000,2013,117.000 Km
510.000,2009,62.000 Km
550.000,2010,66.000 Km
640.000,2012,100.000 Km
420.000,2013,80.000 Km
650.000,2009,112.000 Km
650.000,2011,110.000 Km
650.000,2012,90.000 Km
530.000,2012,100.100 Km
550.000,2011,103.394 Km
620.000,2012,77.000 Km
550.000,2011,51.000 Km
520.000,2010,96.000 Km
580.000,2009,75.000 Km
540.000,2011,98.000 Km
650.000,2013,106.000 Km
500.000,2011,120.000 Km
650.000,2011,86.000 Km
540.000,2011,75.000 Km
650.000,2012,115.000 Km
590.000,2011,96.100 Km
550.000,2011,86.000 Km
650.000,2012,104.000 Km
550.000,2014,92.200 Km
